Part Name,Part Type,Hatchback Price (INR),Hatchback Paint Cost (INR),Hatchback Fitment Hrs,Hatchback Paint Hrs,Sedan Price (INR),Sedan Paint Cost (INR),Sedan Fitment Hrs,Sedan Paint Hrs,SUV Price (INR),SUV Paint Cost (INR),SUV Fitment Hrs,SUV Paint Hrs,MUV/MPV Price (INR),MUV/MPV Paint Cost (INR),MUV/MPV Fitment Hrs,MUV/MPV Paint Hrs,Premium Price (INR),Premium Paint Cost (INR),Premium Fitment Hrs,Premium Paint Hrs
Left Side Skirt/Rocker Panel,Body Panel,8000,1800,1,1.5,11000,2500,1.2,1.8,16000,3500,1.5,2,13000,3000,1.2,1.8,40000,5500,2,3
Right Side Skirt/Rocker Panel,Body Panel,8000,1800,1,1.5,11000,2500,1.2,1.8,16000,3500,1.5,2,13000,3000,1.2,1.8,40000,5500,2,3
Left A-Pillar Trim (Exterior),Body Panel,3500,800,0.5,0.8,4500,1200,0.6,1,6500,1800,0.8,1.2,5500,1500,0.7,1.1,18000,3000,1,1.5
Right A-Pillar Trim (Exterior),Body Panel,3500,800,0.5,0.8,4500,1200,0.6,1,6500,1800,0.8,1.2,5500,1500,0.7,1.1,18000,3000,1,1.5
Fuel Door Cover,Body Panel,1500,500,0.3,0.5,2000,700,0.4,0.6,3000,1000,0.5,0.8,2500,850,0.4,0.7,8000,1800,0.6,1
Front Left Fog Light Assembly,Lighting,2500,0,0.5,0,3500,0,0.6,0,5000,0,0.8,0,4200,0,0.7,0,12000,0,1,0
Front Right Fog Light Assembly,Lighting,2500,0,0.5,0,3500,0,0.6,0,5000,0,0.8,0,4200,0,0.7,0,12000,0,1,0
Windshield Wiper Arms (Set),Misc,1200,0,0.3,0,1800,0,0.4,0,2500,0,0.5,0,2000,0,0.4,0,6000,0,0.6,0
Rear Wiper Arm,Misc,800,0,0.2,0,1000,0,0.2,0,1500,0,0.3,0,1200,0,0.2,0,3500,0,0.4,0
Front Left Door Handle,Body Panel,1800,600,0.6,0.8,2500,800,0.7,1,4000,1200,0.9,1.2,3200,1000,0.8,1.1,10000,2000,1.2,1.5
Front Right Door Handle,Body Panel,1800,600,0.6,0.8,2500,800,0.7,1,4000,1200,0.9,1.2,3200,1000,0.8,1.1,10000,2000,1.2,1.5
Rear Left Door Handle,Body Panel,1600,550,0.5,0.7,2200,750,0.6,0.9,3500,1100,0.8,1.1,2800,900,0.7,1,9000,1800,1.1,1.4
Rear Right Door Handle,Body Panel,1600,550,0.5,0.7,2200,750,0.6,0.9,3500,1100,0.8,1.1,2800,900,0.7,1,9000,1800,1.1,1.4
Front Left Wheel Arch Liner,Misc,700,0,0.3,0,900,0,0.4,0,1300,0,0.5,0,1100,0,0.4,0,3000,0,0.6,0
Front Right Wheel Arch Liner,Misc,700,0,0.3,0,900,0,0.4,0,1300,0,0.5,0,1100,0,0.4,0,3000,0,0.6,0
Rear Left Wheel Arch Liner,Misc,600,0,0.3,0,800,0,0.4,0,1200,0,0.5,0,1000,0,0.4,0,2800,0,0.6,0
Rear Right Wheel Arch Liner,Misc,600,0,0.3,0,800,0,0.4,0,1200,0,0.5,0,1000,0,0.4,0,2800,0,0.6,0
Radiator Grille (Lower),Body Panel,1200,0,0.5,0,1800,0,0.6,0,2500,0,0.8,0,2000,0,0.7,0,6000,0,1,0
Front Bumper Reinforcement Bar,Structural,3000,0,1,0,4500,0,1.2,0,7000,0,1.5,0,5500,0,1.3,0,18000,0,2,0
Rear Bumper Reinforcement Bar,Structural,2800,0,0.8,0,4200,0,1,0,6500,0,1.2,0,5000,0,1.1,0,16000,0,1.8,0
